onset	duration	trial_type	stimID	stimLabel	evalScore01	evalScore02	evalScore03	evalScore04	evalScore05	evalStim01	evalStim02	evalStim03	evalStim04	evalStim05	evalSent01	evalSent02	evalSent03	evalSent04	evalSent05
0	32	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	10	2	2141	2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	10	2	164	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	10	2	1534	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	13	2	2115	2111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	10	2	342	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	10	2	941	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	10	2	1287	1285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	10	2	1247	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	10	2	278	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	10	2	1439	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	10	2	1916	1912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	26	3	0	1912	4	3	2	3	4	1916	1916	1916	1916	1916	19	17	6	16	18
193	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	10	2	1424	1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	10	2	1819	1815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
219	10	2	1496	1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231	10	2	1573	1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	10	2	1187	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255	11	2	38	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	10	2	397	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280	10	2	1954	1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	10	2	1046	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
