onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	6	-2	1679	0	0	0	0
38	12	2	0	1679	0	0	0
50	2	-3	0	0	0	0	0
52	10	3	0	0	1679	0	0
62	2	-4	0	0	0	0	0
64	6	-5	0	0	0	3	3
70	2	-6	0	0	0	0	0
72	4	-2	1659	0	0	0	0
76	12	2	0	1659	0	0	0
88	2	-3	0	0	0	0	0
90	10	3	0	0	1659	0	0
100	2	-4	0	0	0	0	0
102	6	-5	0	0	0	3	3
108	2	-6	0	0	0	0	0
110	7	-2	751	0	0	0	0
117	12	2	0	751	0	0	0
129	2	-3	0	0	0	0	0
131	10	3	0	0	751	0	0
141	2	-4	0	0	0	0	0
143	6	-5	0	0	0	2	3
149	2	-6	0	0	0	0	0
151	4	-2	1207	0	0	0	0
155	12	2	0	1207	0	0	0
167	2	-3	0	0	0	0	0
169	10	3	0	0	1207	0	0
179	2	-4	0	0	0	0	0
181	6	-5	0	0	0	3	3
187	2	-6	0	0	0	0	0
189	6	-2	40	0	0	0	0
195	17	2	0	40	0	0	0
212	2	-3	0	0	0	0	0
214	15	3	0	0	40	0	0
229	2	-4	0	0	0	0	0
231	6	-5	0	0	0	3	2
237	2	-6	0	0	0	0	0
239	4	-2	583	0	0	0	0
243	12	2	0	583	0	0	0
255	2	-3	0	0	0	0	0
257	10	3	0	0	583	0	0
267	2	-4	0	0	0	0	0
269	6	-5	0	0	0	3	2
275	2	-6	0	0	0	0	0
277	4	-2	1688	0	0	0	0
281	12	2	0	1688	0	0	0
293	2	-3	0	0	0	0	0
295	10	3	0	0	1688	0	0
305	2	-4	0	0	0	0	0
307	6	-5	0	0	0	4	4
313	2	-6	0	0	0	0	0
315	4	-2	1602	0	0	0	0
319	12	2	0	1602	0	0	0
331	2	-3	0	0	0	0	0
333	10	3	0	0	1602	0	0
343	2	-4	0	0	0	0	0
345	6	-5	0	0	0	4	4
351	2	-6	0	0	0	0	0
353	4	-2	92	0	0	0	0
357	12	2	0	92	0	0	0
369	2	-3	0	0	0	0	0
371	10	3	0	0	92	0	0
381	2	-4	0	0	0	0	0
383	6	-5	0	0	0	3	3
389	2	-6	0	0	0	0	0
391	8	-2	1354	0	0	0	0
399	12	2	0	1354	0	0	0
411	2	-3	0	0	0	0	0
413	10	3	0	0	1354	0	0
423	2	-4	0	0	0	0	0
425	6	-5	0	0	0	4	4
431	2	-6	0	0	0	0	0
433	7	-2	1707	0	0	0	0
440	12	2	0	1707	0	0	0
452	2	-3	0	0	0	0	0
454	10	3	0	0	1707	0	0
464	2	-4	0	0	0	0	0
466	6	-5	0	0	0	3	4
472	2	-6	0	0	0	0	0
474	6	-2	1321	0	0	0	0
480	12	2	0	1321	0	0	0
492	2	-3	0	0	0	0	0
494	10	3	0	0	1321	0	0
504	2	-4	0	0	0	0	0
506	6	-5	0	0	0	2	2
512	2	-6	0	0	0	0	0
514	8	-7	0	0	0	0	0
