onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	4	-2	1331	0	0	0	0
36	23	2	0	1331	0	0	0
59	2	-3	0	0	0	0	0
61	23	3	0	0	1331	0	0
84	6	-5	0	0	0	2	4
90	2	-6	0	0	0	0	0
92	3	-2	211	0	0	0	0
95	12	2	0	211	0	0	0
107	2	-3	0	0	0	0	0
109	12	3	0	0	211	0	0
121	6	-5	0	0	0	3	3
127	2	-6	0	0	0	0	0
129	3	-2	1024	0	0	0	0
132	12	2	0	1024	0	0	0
144	2	-3	0	0	0	0	0
146	12	3	0	0	1024	0	0
158	6	-5	0	0	0	3	4
164	2	-6	0	0	0	0	0
166	4	-2	1093	0	0	0	0
170	12	2	0	1093	0	0	0
182	2	-3	0	0	0	0	0
184	12	3	0	0	1093	0	0
196	6	-5	0	0	0	4	4
202	2	-6	0	0	0	0	0
204	3	-2	208	0	0	0	0
207	12	2	0	208	0	0	0
219	2	-3	0	0	0	0	0
221	12	3	0	0	208	0	0
233	6	-5	0	0	0	3	3
239	2	-6	0	0	0	0	0
241	3	-2	189	0	0	0	0
244	12	2	0	189	0	0	0
256	2	-3	0	0	0	0	0
258	12	3	0	0	189	0	0
270	6	-5	0	0	0	3	3
276	2	-6	0	0	0	0	0
278	5	-2	1295	0	0	0	0
283	12	2	0	1295	0	0	0
295	2	-3	0	0	0	0	0
297	12	3	0	0	1295	0	0
309	6	-5	0	0	0	3	3
315	2	-6	0	0	0	0	0
317	3	-2	1048	0	0	0	0
320	12	2	0	1048	0	0	0
332	2	-3	0	0	0	0	0
334	12	3	0	0	1048	0	0
346	6	-5	0	0	0	3	3
352	2	-6	0	0	0	0	0
354	3	-2	2150	0	0	0	0
357	12	2	0	2150	0	0	0
369	2	-3	0	0	0	0	0
371	12	3	0	0	2150	0	0
383	6	-5	0	0	0	3	4
389	2	-6	0	0	0	0	0
391	4	-2	1810	0	0	0	0
395	12	2	0	1810	0	0	0
407	2	-3	0	0	0	0	0
409	12	3	0	0	1810	0	0
421	6	-5	0	0	0	3	3
427	2	-6	0	0	0	0	0
429	3	-2	1642	0	0	0	0
432	12	2	0	1642	0	0	0
444	2	-3	0	0	0	0	0
446	12	3	0	0	1642	0	0
458	6	-5	0	0	0	4	4
464	2	-6	0	0	0	0	0
466	3	-2	1936	0	0	0	0
469	12	2	0	1936	0	0	0
481	2	-3	0	0	0	0	0
483	12	3	0	0	1936	0	0
495	6	-5	0	0	0	4	4
501	2	-6	0	0	0	0	0
503	8	-7	0	0	0	0	0
