onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	3	-2	40	0	0	0	0
35	17	2	0	40	0	0	0
52	2	-3	0	0	0	0	0
54	17	3	0	0	40	0	0
71	6	-5	0	0	0	3	3
77	2	-6	0	0	0	0	0
79	2	-2	1207	0	0	0	0
81	12	2	0	1207	0	0	0
93	2	-3	0	0	0	0	0
95	12	3	0	0	1207	0	0
107	6	-5	0	0	0	4	4
113	2	-6	0	0	0	0	0
115	2	-2	499	0	0	0	0
117	12	2	0	499	0	0	0
129	2	-3	0	0	0	0	0
131	12	3	0	0	499	0	0
143	6	-5	0	0	0	4	3
149	2	-6	0	0	0	0	0
151	3	-2	2007	0	0	0	0
154	12	2	0	2007	0	0	0
166	2	-3	0	0	0	0	0
168	12	3	0	0	2007	0	0
180	6	-5	0	0	0	3	3
186	2	-6	0	0	0	0	0
188	4	-2	335	0	0	0	0
192	12	2	0	335	0	0	0
204	2	-3	0	0	0	0	0
206	12	3	0	0	335	0	0
218	6	-5	0	0	0	3	3
224	2	-6	0	0	0	0	0
226	5	-2	1833	0	0	0	0
231	12	2	0	1833	0	0	0
243	2	-3	0	0	0	0	0
245	12	3	0	0	1833	0	0
257	6	-5	0	0	0	4	3
263	2	-6	0	0	0	0	0
265	6	-2	1172	0	0	0	0
271	18	2	0	1172	0	0	0
289	2	-3	0	0	0	0	0
291	18	3	0	0	1172	0	0
309	6	-5	0	0	0	3	3
315	2	-6	0	0	0	0	0
317	5	-2	1594	0	0	0	0
322	12	2	0	1594	0	0	0
334	2	-3	0	0	0	0	0
336	12	3	0	0	1594	0	0
348	6	-5	0	0	0	3	3
354	2	-6	0	0	0	0	0
356	4	-2	1	0	0	0	0
360	12	2	0	1	0	0	0
372	2	-3	0	0	0	0	0
374	12	3	0	0	1	0	0
386	6	-5	0	0	0	2	3
392	2	-6	0	0	0	0	0
394	5	-2	1279	0	0	0	0
399	12	2	0	1279	0	0	0
411	2	-3	0	0	0	0	0
413	12	3	0	0	1279	0	0
425	6	-5	0	0	0	3	3
431	2	-6	0	0	0	0	0
433	4	-2	166	0	0	0	0
437	12	2	0	166	0	0	0
449	2	-3	0	0	0	0	0
451	12	3	0	0	166	0	0
463	6	-5	0	0	0	3	3
469	2	-6	0	0	0	0	0
471	4	-2	85	0	0	0	0
475	12	2	0	85	0	0	0
487	2	-3	0	0	0	0	0
489	12	3	0	0	85	0	0
501	6	-5	0	0	0	2	2
507	2	-6	0	0	0	0	0
509	8	-7	0	0	0	0	0
