onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	7	-2	71	0	0	0	0
39	12	2	0	71	0	0	0
51	2	-3	0	0	0	0	0
53	10	3	0	0	71	0	0
63	2	-4	0	0	0	0	0
65	6	-5	0	0	0	4	4
71	2	-6	0	0	0	0	0
73	5	-2	519	0	0	0	0
78	12	2	0	519	0	0	0
90	2	-3	0	0	0	0	0
92	10	3	0	0	519	0	0
102	2	-4	0	0	0	0	0
104	6	-5	0	0	0	3	3
110	2	-6	0	0	0	0	0
112	11	-2	160	0	0	0	0
123	12	2	0	160	0	0	0
135	2	-3	0	0	0	0	0
137	10	3	0	0	160	0	0
147	2	-4	0	0	0	0	0
149	6	-5	0	0	0	3	3
155	2	-6	0	0	0	0	0
157	11	-2	1279	0	0	0	0
168	12	2	0	1279	0	0	0
180	2	-3	0	0	0	0	0
182	10	3	0	0	1279	0	0
192	2	-4	0	0	0	0	0
194	6	-5	0	0	0	4	4
200	2	-6	0	0	0	0	0
202	7	-2	2150	0	0	0	0
209	12	2	0	2150	0	0	0
221	2	-3	0	0	0	0	0
223	10	3	0	0	2150	0	0
233	2	-4	0	0	0	0	0
235	6	-5	0	0	0	3	3
241	2	-6	0	0	0	0	0
243	6	-2	1070	0	0	0	0
249	12	2	0	1070	0	0	0
261	2	-3	0	0	0	0	0
263	10	3	0	0	1070	0	0
273	2	-4	0	0	0	0	0
275	6	-5	0	0	0	4	3
281	2	-6	0	0	0	0	0
283	6	-2	1093	0	0	0	0
289	12	2	0	1093	0	0	0
301	2	-3	0	0	0	0	0
303	10	3	0	0	1093	0	0
313	2	-4	0	0	0	0	0
315	6	-5	0	0	0	3	3
321	2	-6	0	0	0	0	0
323	5	-2	139	0	0	0	0
328	12	2	0	139	0	0	0
340	2	-3	0	0	0	0	0
342	10	3	0	0	139	0	0
352	2	-4	0	0	0	0	0
354	6	-5	0	0	0	4	3
360	2	-6	0	0	0	0	0
362	10	-2	1210	0	0	0	0
372	12	2	0	1210	0	0	0
384	2	-3	0	0	0	0	0
386	10	3	0	0	1210	0	0
396	2	-4	0	0	0	0	0
398	6	-5	0	0	0	3	3
404	2	-6	0	0	0	0	0
406	10	-2	1810	0	0	0	0
416	12	2	0	1810	0	0	0
428	2	-3	0	0	0	0	0
430	10	3	0	0	1810	0	0
440	2	-4	0	0	0	0	0
442	6	-5	0	0	0	3	3
448	2	-6	0	0	0	0	0
450	6	-2	696	0	0	0	0
456	12	2	0	696	0	0	0
468	2	-3	0	0	0	0	0
470	10	3	0	0	696	0	0
480	2	-4	0	0	0	0	0
482	6	-5	0	0	0	3	4
488	2	-6	0	0	0	0	0
490	6	-2	1668	0	0	0	0
496	12	2	0	1668	0	0	0
508	2	-3	0	0	0	0	0
510	10	3	0	0	1668	0	0
520	2	-4	0	0	0	0	0
522	6	-5	0	0	0	3	4
528	2	-6	0	0	0	0	0
530	8	-7	0	0	0	0	0
