onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	6	-2	1602	0	0	0	0
38	12	2	0	1602	0	0	0
50	2	-3	0	0	0	0	0
52	10	3	0	0	1602	0	0
62	2	-4	0	0	0	0	0
64	6	-5	0	0	0	4	4
70	2	-6	0	0	0	0	0
72	7	-2	40	0	0	0	0
79	17	2	0	40	0	0	0
96	2	-3	0	0	0	0	0
98	15	3	0	0	40	0	0
113	2	-4	0	0	0	0	0
115	6	-5	0	0	0	3	3
121	2	-6	0	0	0	0	0
123	10	-2	104	0	0	0	0
133	12	2	0	104	0	0	0
145	2	-3	0	0	0	0	0
147	10	3	0	0	104	0	0
157	2	-4	0	0	0	0	0
159	6	-5	0	0	0	4	4
165	2	-6	0	0	0	0	0
167	7	-2	1596	0	0	0	0
174	12	2	0	1596	0	0	0
186	2	-3	0	0	0	0	0
188	10	3	0	0	1596	0	0
198	2	-4	0	0	0	0	0
200	6	-5	0	0	0	3	2
206	2	-6	0	0	0	0	0
208	8	-2	1885	0	0	0	0
216	12	2	0	1885	0	0	0
228	2	-3	0	0	0	0	0
230	10	3	0	0	1885	0	0
240	2	-4	0	0	0	0	0
242	6	-5	0	0	0	3	3
248	2	-6	0	0	0	0	0
250	9	-2	2007	0	0	0	0
259	12	2	0	2007	0	0	0
271	2	-3	0	0	0	0	0
273	10	3	0	0	2007	0	0
283	2	-4	0	0	0	0	0
285	6	-5	0	0	0	4	3
291	2	-6	0	0	0	0	0
293	7	-2	1295	0	0	0	0
300	12	2	0	1295	0	0	0
312	2	-3	0	0	0	0	0
314	10	3	0	0	1295	0	0
324	2	-4	0	0	0	0	0
326	6	-5	0	0	0	4	5
332	2	-6	0	0	0	0	0
334	6	-2	166	0	0	0	0
340	12	2	0	166	0	0	0
352	2	-3	0	0	0	0	0
354	10	3	0	0	166	0	0
364	2	-4	0	0	0	0	0
366	6	-5	0	0	0	4	5
372	2	-6	0	0	0	0	0
374	8	-2	301	0	0	0	0
382	12	2	0	301	0	0	0
394	2	-3	0	0	0	0	0
396	10	3	0	0	301	0	0
406	2	-4	0	0	0	0	0
408	6	-5	0	0	0	4	5
414	2	-6	0	0	0	0	0
416	7	-2	1642	0	0	0	0
423	12	2	0	1642	0	0	0
435	2	-3	0	0	0	0	0
437	10	3	0	0	1642	0	0
447	2	-4	0	0	0	0	0
449	6	-5	0	0	0	4	4
455	2	-6	0	0	0	0	0
457	7	-2	696	0	0	0	0
464	12	2	0	696	0	0	0
476	2	-3	0	0	0	0	0
478	10	3	0	0	696	0	0
488	2	-4	0	0	0	0	0
490	6	-5	0	0	0	5	4
496	2	-6	0	0	0	0	0
498	7	-2	1210	0	0	0	0
505	12	2	0	1210	0	0	0
517	2	-3	0	0	0	0	0
519	10	3	0	0	1210	0	0
529	2	-4	0	0	0	0	0
531	6	-5	0	0	0	3	4
537	2	-6	0	0	0	0	0
539	8	-7	0	0	0	0	0
