onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	9	-2	1048	0	0	0	0
41	12	2	0	1048	0	0	0
53	2	-3	0	0	0	0	0
55	12	3	0	0	1048	0	0
67	6	-5	0	0	0	3	3
73	2	-6	0	0	0	0	0
75	4	-2	996	0	0	0	0
79	12	2	0	996	0	0	0
91	2	-3	0	0	0	0	0
93	12	3	0	0	996	0	0
105	6	-5	0	0	0	2	3
111	2	-6	0	0	0	0	0
113	8	-2	189	0	0	0	0
121	12	2	0	189	0	0	0
133	2	-3	0	0	0	0	0
135	12	3	0	0	189	0	0
147	6	-5	0	0	0	3	3
153	2	-6	0	0	0	0	0
155	4	-2	1193	0	0	0	0
159	12	2	0	1193	0	0	0
171	2	-3	0	0	0	0	0
173	12	3	0	0	1193	0	0
185	6	-5	0	0	0	2	2
191	2	-6	0	0	0	0	0
193	6	-2	166	0	0	0	0
199	12	2	0	166	0	0	0
211	2	-3	0	0	0	0	0
213	12	3	0	0	166	0	0
225	6	-5	0	0	0	2	3
231	2	-6	0	0	0	0	0
233	4	-2	546	0	0	0	0
237	12	2	0	546	0	0	0
249	2	-3	0	0	0	0	0
251	12	3	0	0	546	0	0
263	6	-5	0	0	0	3	3
269	2	-6	0	0	0	0	0
271	4	-2	540	0	0	0	0
275	12	2	0	540	0	0	0
287	2	-3	0	0	0	0	0
289	12	3	0	0	540	0	0
301	6	-5	0	0	0	2	3
307	2	-6	0	0	0	0	0
309	6	-2	35	0	0	0	0
315	12	2	0	35	0	0	0
327	2	-3	0	0	0	0	0
329	12	3	0	0	35	0	0
341	6	-5	0	0	0	3	3
347	2	-6	0	0	0	0	0
349	5	-2	211	0	0	0	0
354	12	2	0	211	0	0	0
366	2	-3	0	0	0	0	0
368	12	3	0	0	211	0	0
380	6	-5	0	0	0	2	3
386	2	-6	0	0	0	0	0
388	4	-2	1112	0	0	0	0
392	14	2	0	1112	0	0	0
406	2	-3	0	0	0	0	0
408	14	3	0	0	1112	0	0
422	6	-5	0	0	0	2	3
428	2	-6	0	0	0	0	0
430	5	-2	208	0	0	0	0
435	12	2	0	208	0	0	0
447	2	-3	0	0	0	0	0
449	12	3	0	0	208	0	0
461	6	-5	0	0	0	2	3
467	2	-6	0	0	0	0	0
469	5	-2	1295	0	0	0	0
474	12	2	0	1295	0	0	0
486	2	-3	0	0	0	0	0
488	12	3	0	0	1295	0	0
500	6	-5	0	0	0	3	3
506	2	-6	0	0	0	0	0
508	8	-7	0	0	0	0	0
