onset	duration	trial_type	stimID	stimLabel	evalScore01	evalScore02	evalScore03	evalScore04	evalScore05	evalStim01	evalStim02	evalStim03	evalStim04	evalStim05	evalSent01	evalSent02	evalSent03	evalSent04	evalSent05
0	32	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	12	2	1938	1934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	13	2	1015	1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	47	3	0	1013	5	4	2	2	3	1015	1015	1015	1015	1015	17	9	10	5	19
104	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	18	2	167	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	45	3	0	167	3	3	4	5	4	167	167	167	167	167	14	5	17	18	20
169	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	13	2	933	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	12	2	2061	2057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	12	2	349	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	12	2	1340	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	16	2	296	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	12	2	750	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	14	2	2040	2036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	18	2	672	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280	34	3	0	672	2	5	3	3	4	672	672	672	672	672	10	1	17	8	15
314	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	12	2	1005	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	12	2	647	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	12	2	1910	1906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	12	2	893	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	12	2	681	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	12	2	1230	1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	12	2	1754	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	12	2	2097	2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	18	2	2003	1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	12	2	324	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442	26	2	1934	1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
468	12	2	2076	2072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
480	13	2	1743	1739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
493	12	2	46	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
505	18	2	2131	2127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
523	13	2	2144	2140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
536	18	2	1872	1868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554	12	2	2001	1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
566	12	2	1191	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578	14	2	1676	1672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
592	12	2	2181	2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604	18	2	915	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
622	42	3	0	913	5	4	3	2	3	915	915	915	915	915	7	16	6	13	20
664	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
666	12	2	863	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
678	14	2	1843	1839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
692	12	2	1647	1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
704	8	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
