onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	5	-2	1	0	0	0	0
37	12	2	0	1	0	0	0
49	2	-3	0	0	0	0	0
51	10	3	0	0	1	0	0
61	2	-4	0	0	0	0	0
63	6	-5	0	0	0	3	2
69	2	-6	0	0	0	0	0
71	6	-2	1764	0	0	0	0
77	12	2	0	1764	0	0	0
89	2	-3	0	0	0	0	0
91	10	3	0	0	1764	0	0
101	2	-4	0	0	0	0	0
103	6	-5	0	0	0	4	3
109	2	-6	0	0	0	0	0
111	7	-2	1881	0	0	0	0
118	12	2	0	1881	0	0	0
130	2	-3	0	0	0	0	0
132	10	3	0	0	1881	0	0
142	2	-4	0	0	0	0	0
144	6	-5	0	0	0	4	3
150	2	-6	0	0	0	0	0
152	7	-2	269	0	0	0	0
159	12	2	0	269	0	0	0
171	2	-3	0	0	0	0	0
173	10	3	0	0	269	0	0
183	2	-4	0	0	0	0	0
185	6	-5	0	0	0	4	4
191	2	-6	0	0	0	0	0
193	6	-2	2129	0	0	0	0
199	12	2	0	2129	0	0	0
211	2	-3	0	0	0	0	0
213	10	3	0	0	2129	0	0
223	2	-4	0	0	0	0	0
225	6	-5	0	0	0	4	4
231	2	-6	0	0	0	0	0
233	8	-2	1240	0	0	0	0
241	12	2	0	1240	0	0	0
253	2	-3	0	0	0	0	0
255	10	3	0	0	1240	0	0
265	2	-4	0	0	0	0	0
267	6	-5	0	0	0	3	3
273	2	-6	0	0	0	0	0
275	6	-2	201	0	0	0	0
281	12	2	0	201	0	0	0
293	2	-3	0	0	0	0	0
295	10	3	0	0	201	0	0
305	2	-4	0	0	0	0	0
307	6	-5	0	0	0	3	2
313	2	-6	0	0	0	0	0
315	8	-2	89	0	0	0	0
323	12	2	0	89	0	0	0
335	2	-3	0	0	0	0	0
337	10	3	0	0	89	0	0
347	2	-4	0	0	0	0	0
349	6	-5	0	0	0	4	4
355	2	-6	0	0	0	0	0
357	8	-2	104	0	0	0	0
365	12	2	0	104	0	0	0
377	2	-3	0	0	0	0	0
379	10	3	0	0	104	0	0
389	2	-4	0	0	0	0	0
391	6	-5	0	0	0	3	3
397	2	-6	0	0	0	0	0
399	9	-2	555	0	0	0	0
408	12	2	0	555	0	0	0
420	2	-3	0	0	0	0	0
422	10	3	0	0	555	0	0
432	2	-4	0	0	0	0	0
434	6	-5	0	0	0	2	2
440	2	-6	0	0	0	0	0
442	6	-2	571	0	0	0	0
448	12	2	0	571	0	0	0
460	2	-3	0	0	0	0	0
462	10	3	0	0	571	0	0
472	2	-4	0	0	0	0	0
474	6	-5	0	0	0	3	2
480	2	-6	0	0	0	0	0
482	6	-2	301	0	0	0	0
488	12	2	0	301	0	0	0
500	2	-3	0	0	0	0	0
502	10	3	0	0	301	0	0
512	2	-4	0	0	0	0	0
514	6	-5	0	0	0	4	4
520	2	-6	0	0	0	0	0
522	8	-7	0	0	0	0	0
